Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Rest-House,,Vanadzor,"10,400",Not Included,Two-Bedroom House,Balcony,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,Arabic | English | Farsi | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Հյուրատուն Hotel in Gyumri,,Gyumri,"20,650",Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Sun-child Cottage,,Garni,"37,200",Not Included,Three-Bedroom House,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | French | Russian | Turkish,Doesn't have,Doesn't have,Doesn't have
Aliq hotel,5.5,Tsaghkadzor,"18,000",Included,Deluxe Double or Twin Room,Beachfront,Doesn't have,Beach,Doesn't have,No internet access available.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
City Center in Yerevan Apartament-44,,Yerevan,"27,000",Not Included,One-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Villa Casas Di Maria,9,Tsaghkadzor,"00,000",Not Included,Deluxe Villa,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
City Center in Yerevan Apartament-44,,Yerevan,"27,000",Not Included,One-Bedroom Apartment,Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Villa Casas Di Maria,9,Tsaghkadzor,"00,000",Not Included,Deluxe Villa,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,German | English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Vardan,,Yerevan,"12,000",Not Included,Double Room,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Anna's guest house,,Dilijan,"15,000",Not Included,Two-Bedroom Apartment,Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Minibar,No internet access available.,,English | Russian | Ukrainian,,Doesn't have,Doesn't have
Гостевой дом,,Kurtʼan,"21,600",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
Apartment in Zakyan Street,,Yerevan,"25,000",Not Included,One-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Lusya B&B,8.8,Yeghegnadzor,"5,000",Not Included,Deluxe Single Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,WiFi is available in the hotel rooms and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Mount Aragats,,Byurakan,"20,000",Included,Apartment with Lake View,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,German | English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Փայտե Տնակ/Wooden House,8,Stepʼanavan,"15,400",Not Included,Two-Bedroom House,Doesn't have,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,German | English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Varaga Guest House,,Artʼik,"12,000",Not Included,One-Bedroom Apartment,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,Temporary art galleries,Grocery deliveries (Additional charge) | Breakfast in the room | Room service | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Сердце Севана,,Hayravankʼ,"76,950",Not Included,Apartment,Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Comfy Apartment in Yerevan By Home Elite,4,Yerevan,"26,999",Not Included,Two-Bedroom Apartment,Picnic area | Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,"Aerobics (Additional charge) | Tour or class about local culture | Walking tours (Additional charge) | Movie nights (Additional charge) | Badminton equipment (Additional charge) | Tennis equipment (Additional charge) | Kids' club (Additional charge) | Hiking (Off-site, Additional charge) | Darts (Additional charge) | Table tennis",Kid meals | Special diet menus (on request) | Breakfast in the room,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Best Villa,,Ptghni,"90,000",Not Included,Three-Bedroom Villa,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Zovuni Resthouse,,Zovuni,"45,000",Not Included,Two-Bedroom House,Picnic area | Balcony | Garden,Doesn't have,Cycling | Hiking,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Appartments,,Yerevan,"20,000",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Patio | Terrace | Garden,Doesn't have,Hiking,Grocery deliveries | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Studio on Papazyan 12,8,Yerevan,"30,000",Not Included,Studio Apartment,Doesn't have,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Dacha Guest House,,Vanadzor,"80,000",Not Included,Five-Bedroom House,Picnic area | Sun terrace | BBQ facilities | Terrace | Garden,Doesn't have,Doesn't have,Grocery deliveries | Breakfast in the room | Room service,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Sun loungers or beach chairs | Open-air bath,Doesn't have,Doesn't have
Дом,,Ashtarak,"64,000",Not Included,One-Bedroom Apartment,Private pool | Garden,Doesn't have,Table tennis,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,Russian,,Doesn't have,Doesn't have
Драхтик,,Yerevan,"12,000",Not Included,Standard Twin Room,Private pool | Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,,Doesn't have,Doesn't have
MaGis,,Gyumri,"16,800",Not Included,Two-Bedroom Apartment,Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Minibar,No internet access available.,Electric vehicle charging station,Russian,,Doesn't have,Doesn't have
Hyuratun,,Stepʼanavan,"18,000",Not Included,Two-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,WiFi is available in the hotel rooms and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Old Goris,6,Goris,"4,800",Not Included,Double Room,Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Sweethome,,Yerevan,"41,000",Not Included,One-Bedroom Apartment,Outdoor fireplace | Picnic area | Sun terrace | BBQ facilities,Doesn't have,Tennis equipment | Table tennis | Billiards | Children's playground,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Bagramyan apartment,,Yerevan,"19,440",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Hiking,Doesn't have,No internet access available.,,German | English | Armenian | Italian | Russian,Doesn't have,Doesn't have,Doesn't have
Beautiful apartment in Yerevan,,Yerevan,"18,000",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Patio | Balcony | Terrace | Garden,Doesn't have,Ski-to-door access | Ski equipment hire on site | Ski school | Ski storage | Hiking | Skiing,Grocery deliveries (Additional charge) | Bar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Saryan street, 1 bedroom Renovated, Sunny apartment, SA183",,Yerevan,"25,000",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Stylish apartment in Northern Avenue,,Yerevan,"54,450",Not Included,Two-Bedroom Apartment,Terrace | Garden,Doesn't have,Hiking (Off-site) | Fishing (Off-site),Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Собственный дом,,Yerevan,"60,000",Not Included,One-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Orbeli,,Yerevan,"32,000",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,Electric vehicle charging station,English | Russian,Doesn't have,Doesn't have,Doesn't have
COZY APARTMENT FOR REAL REST,,Dilijan,"32,000",Not Included,One-Bedroom Apartment,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Wine/champagne (Additional charge) | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Comfortable House In Jermuk,9.2,Jermuk,"23,000",Not Included,Two-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor furniture | Barbecue | BBQ facilities | Terrace,Doesn't have,Doesn't have,Kid-friendly buffet | Kid meals | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Comfortable Appartments in the Center of Yerevan,,Yerevan,"62,640",Not Included,One-Bedroom Apartment,Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,Electric vehicle charging station,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Deluxe apartment in The city center 2 rooms,8.9,Yerevan,"34,900",Not Included,One-Bedroom Apartment,Balcony | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
apartment in city center,,Yerevan,"31,200",Not Included,One-Bedroom Apartment,Outdoor dining area | Balcony | Terrace,Doesn't have,Doesn't have,Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Maria Resort,5.3,Sevan,"20,000",Included,Single Room,Picnic area | Outdoor dining area | Sun terrace | Private pool | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Hiking | Fishing (Off-site),Grocery deliveries (Additional charge) | Special diet menus (on request) | Packed lunches,No internet access available.,,English | Russian,Open-air bath,Doesn't have,Doesn't have
Edita,5,Arzakan,"20,000",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Family Guest House,,Yerevan,"17,010",Not Included,Double Room,Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,Electric vehicle charging station,English | Armenian | Russian,,Doesn't have,Doesn't have
58 kvartal,,Gyumri,"10,500",Not Included,One-Bedroom Apartment,Private pool,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,,Doesn't have,Doesn't have
Haghartsin Guesthouse,9.5,Dilijan,"19,000",Not Included,One-Bedroom Apartment,Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,Electric vehicle charging station,Russian,Doesn't have,Doesn't have,Doesn't have
Дача У Артура,,Stepʼanavan,"26,000",Not Included,Two-Bedroom House,Doesn't have,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Dili Angeles Guest House,,Dilijan,"35,000",Not Included,Double Room,Picnic area | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,WiFi is available in public areas and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
President Palace - Family Luxe - 3 этажный коттедж с сауной,,Tsaghkadzor,"65,000",Not Included,Two-Bedroom House,Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Armenian | Russian,,Doesn't have,Doesn't have
Apartments 3 pc.,,Yerevan,"36,000",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | BBQ facilities | Garden,Doesn't have,Doesn't have,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
3-ох комнатня квартра в центре Еревана,1,Yerevan,"40,000",Not Included,Two-Bedroom Apartment,Garden,Doesn't have,Doesn't have,Minibar,No internet access available.,,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Praspekt,,Yerevan,"19,800",Not Included,One-Bedroom Apartment,Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,German | English | Russian,,Doesn't have,Doesn't have
Суточная квартира / Daily apartment,,Yerevan,"18,480",Included,Two-Bedroom Apartment,Balcony | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Flat Garden,,Tsaghkadzor,"20,000",Not Included,Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,WiFi is available in public areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
